#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
-275,0.586981762,10,GO:0000322;GO:0000324,fungal-type vacuole,0.729353279,CC
-188,0.589844995,21,GO:0005782;GO:0031907,peroxisomal matrix,0.729353279,CC
-73,0.589869352,143,GO:0045121;GO:0098857,membrane raft,0.729353279,CC
67,0.591100627,167,GO:0015629,actin cytoskeleton,0.729353279,CC
195,0.595858679,19,GO:0070852,cell body fiber,0.73347366,CC
174,0.601680255,23,GO:0031519,PcG protein complex,0.738484204,CC
240,0.602785946,12,GO:0030125,clathrin vesicle coat,0.738484204,CC
188,0.607981115,19,GO:0001750,photoreceptor outer segment,0.74238351,CC
77,0.609330481,115,GO:0071013,catalytic step 2 spliceosome,0.74238351,CC
92,0.610276579,79,GO:0030666,endocytic vesicle membrane,0.74238351,CC
255,0.613995375,10,GO:0031306,intrinsic component of mitochondrial outer membrane,0.745154011,CC
145,0.620811502,30,GO:0005758,mitochondrial intermembrane space,0.751661702,CC
99,0.626455479,62,GO:0043195,terminal bouton,0.75672309,CC
105,0.632404819,54,GO:0043230;GO:0065010;GO:1903561,extracellular organelle,0.762128885,CC
-176,0.640105033,18,GO:0005720,nuclear heterochromatin,0.768014017,CC
159,0.640259267,22,GO:0008287,protein serine/threonine phosphatase complex,0.768014017,CC
-214,0.64371852,12,GO:0031231,intrinsic component of peroxisomal membrane,0.770376099,CC
-217,0.652464453,11,GO:0034518,RNA cap binding complex,0.779039543,CC
-135,0.654808474,28,GO:0016592,mediator complex,0.780036822,CC
-31,0.656376573,609,GO:0031967,organelle envelope,0.78010733,CC
131,0.659053078,29,GO:0031983,vesicle lumen,0.781491838,CC
-209,0.665456699,11,GO:0034358;GO:1990777,plasma lipoprotein particle,0.786110377,CC
218,0.665989062,10,GO:0032590,dendrite membrane,0.786110377,CC
146,0.669806584,22,GO:0005776,autophagosome,0.787541474,CC
74,0.670248063,86,GO:0014069;GO:0099572,postsynaptic density,0.787541474,CC
-100,0.678645349,44,GO:0016605,PML body,0.793933481,CC
-71,0.678759379,88,GO:0034702,ion channel complex,0.793933481,CC
137,0.681219408,23,GO:0043190,ATP-binding cassette (ABC) transporter complex,0.795012266,CC
-28,0.684672881,610,GO:0031975,envelope,0.797242971,CC
-54,0.686647344,144,GO:0098589,membrane region,0.797745341,CC
131,0.695278508,23,GO:0045172,germline ring canal,0.805961858,CC
-129,0.705528852,22,GO:0030864,cortical actin cytoskeleton,0.816014354,CC
66,0.709344801,82,GO:0098793;GO:0043679,presynapse,0.818596567,CC
93,0.712639631,40,GO:0001669,acrosomal vesicle,0.820269682,CC
55,0.713967808,116,GO:0005765,lysosomal membrane,0.820269682,CC
-179,0.723943161,10,GO:0070090,metaphase plate,0.829886063,CC
31,0.730410384,338,GO:0031966,mitochondrial membrane,0.835447276,CC
102,0.73726133,28,GO:0009295,nucleoid,0.841421871,CC
66,0.76592364,53,GO:0070062,extracellular exosome,0.872208198,CC
117,0.769273584,16,GO:0005637,nuclear inner membrane,0.874097677,CC
80,0.77200787,34,GO:0016328,lateral plasma membrane,0.874687591,CC
51,0.773176458,84,GO:0044306,neuron projection terminus,0.874687591,CC
44,0.775991252,111,GO:0071011,precatalytic spliceosome,0.87595519,CC
-43,0.788632182,103,GO:0000151,ubiquitin ligase complex,0.886543095,CC
67,0.790323453,41,GO:0017053,transcriptional repressor complex,0.886543095,CC
-40,0.791124724,115,GO:1902495,transmembrane transporter complex,0.886543095,CC
-83,0.79223,26,GO:0042641,actomyosin,0.886543095,CC
115,0.795158332,13,GO:0008328;GO:0098878,neurotransmitter receptor complex,0.88789818,CC
-106,0.803601156,14,GO:0034704,calcium channel complex,0.895391805,CC
-64,0.807741689,37,GO:0031970,organelle envelope lumen,0.898069792,CC
17,0.813772462,525,GO:0044421,extracellular region part,0.901468082,CC
-119,0.814285482,10,GO:0009526;GO:0009941,plastid envelope,0.901468082,CC
23,0.819072757,262,GO:0019866,organelle inner membrane,0.904395937,CC
70,0.820428809,27,GO:0009507;GO:0009536,chloroplast,0.904395937,CC
-95,0.825055203,14,GO:0032839;GO:0120111,dendrite cytoplasm,0.907560723,CC
-69,0.830041649,25,GO:1903293,phosphatase complex,0.90845318,CC
78,0.830769883,19,GO:0030119,AP-type membrane coat adaptor complex,0.90845318,CC
55,0.831460697,38,GO:0000118,histone deacetylase complex,0.90845318,CC
16,0.832895179,517,GO:0098590,plasma membrane region,0.90845318,CC
83,0.836036798,16,GO:0030312,external encapsulating structure,0.908541738,CC
66,0.83787757,25,GO:0034705,potassium channel complex,0.908541738,CC
-37,0.838248373,78,GO:0005604,basement membrane,0.908541738,CC
62,0.840488426,27,GO:0098533,ATPase dependent transmembrane transport complex,0.909063842,CC
71,0.843747054,20,GO:0030173,integral component of Golgi membrane,0.910203708,CC
27,0.845063404,133,GO:0097060,synaptic membrane,0.910203708,CC
-76,0.853289482,15,GO:0035267;GO:0043189,H4/H2A histone acetyltransferase complex,0.916879289,CC
-93,0.854808157,10,GO:0035324,female germline ring canal,0.916879289,CC
-17,0.856634508,322,GO:0005615,extracellular space,0.916935902,CC
-45,0.861863301,38,GO:0032421,stereocilium bundle,0.920286612,CC
-26,0.863760533,118,GO:1990351,transporter complex,0.920286612,CC
-85,0.866795773,10,GO:0031258,lamellipodium membrane,0.920286612,CC
-47,0.866885068,33,GO:0016529,sarcoplasmic reticulum,0.920286612,CC
82,0.871474737,10,GO:0031045,dense core granule,0.921243954,CC
-81,0.873347593,10,GO:0005845,mRNA cap binding complex,0.921243954,CC
17,0.873460449,246,GO:0005743,mitochondrial inner membrane,0.921243954,CC
-26,0.87491447,99,GO:0044455,mitochondrial membrane part,0.921243954,CC
-35,0.879356684,48,GO:0034708;GO:0035097,histone methyltransferase complex,0.922743393,CC
76,0.87990811,10,GO:0005869,dynactin complex,0.922743393,CC
-58,0.89133452,14,GO:0080008,Cul4-RING E3 ubiquitin ligase complex,0.932830663,CC
-47,0.893135741,21,GO:0008076,voltage-gated potassium channel complex,0.932830663,CC
42,0.899913175,23,GO:0031228,intrinsic component of Golgi membrane,0.938014337,CC
23,0.902416279,74,GO:0098858,actin-based cell projection,0.938730817,CC
-34,0.908274608,29,GO:0045169,fusome,0.941720266,CC
16,0.910565245,124,GO:0098852,lytic vacuole membrane,0.941720266,CC
-46,0.910754609,15,GO:0090568,nuclear transcriptional repressor complex,0.941720266,CC
-22,0.920630503,55,GO:0098800,inner mitochondrial membrane protein complex,0.950031876,CC
-37,0.922469477,18,GO:0000786,nucleosome,0.950033306,CC
-13,0.92598381,141,GO:0031253,cell projection membrane,0.951379023,CC
16,0.927456533,85,GO:0005700,polytene chromosome,0.951379023,CC
-20,0.930393905,47,GO:0045111,intermediate filament cytoskeleton,0.952502275,CC
-10,0.93642114,182,GO:0016604,nuclear body,0.956778122,CC
30,0.939090069,17,GO:0036056,filtration diaphragm,0.957612556,CC
-22,0.944910205,26,GO:0045171,intercellular bridge,0.96165074,CC
24,0.949267962,18,GO:0048786,presynaptic active zone,0.964187694,CC
25,0.955293345,13,GO:0005618,cell wall,0.968023146,CC
25,0.956788835,12,GO:0036057,slit diaphragm,0.968023146,CC
19,0.970837602,10,GO:0005719,nuclear euchromatin,0.980318438,CC
8,0.980488401,27,GO:0042645,mitochondrial nucleoid,0.985544384,CC
-9,0.981498564,17,GO:0005689,U12-type spliceosomal complex,0.985544384,CC
-3,0.982370863,168,GO:0030139,endocytic vesicle,0.985544384,CC
-10,0.983638109,10,GO:0051286,cell tip,0.985544384,CC
3,0.991769836,29,GO:0008023,transcription elongation factor complex,0.991769836,CC
504,2.57E-10,466,GO:0004871,obsolete signal transducer activity,1.77E-07,MF
472,1.73E-09,484,GO:0060089,molecular transducer activity,5.98E-07,MF
-876,1.53E-08,116,GO:0005342;GO:0046943,organic acid transmembrane transporter activity,3.52E-06,MF
-741,2.10E-07,137,GO:0140097,"catalytic activity, acting on DNA",3.61E-05,MF
405,3.06E-07,475,GO:0019899,enzyme binding,4.21E-05,MF
-705,5.96E-07,140,GO:0008514,organic anion transmembrane transporter activity,6.84E-05,MF
-851,7.07E-07,94,GO:0004518,nuclease activity,6.96E-05,MF
-913,1.03E-06,79,GO:0008238,exopeptidase activity,8.85E-05,MF
-893,1.77E-06,79,GO:0015171,amino acid transmembrane transporter activity,1.36E-04,MF
380,3.14E-06,445,GO:0032553,ribonucleotide binding,2.14E-04,MF
-408,3.42E-06,378,GO:0016788,"hydrolase activity, acting on ester bonds",2.14E-04,MF
380,3.78E-06,437,GO:0032555,purine ribonucleotide binding,2.17E-04,MF
590,4.46E-06,170,GO:0004842,ubiquitin-protein transferase activity,2.36E-04,MF
-1054,5.61E-06,51,GO:0008028,monocarboxylic acid transmembrane transporter activity,2.76E-04,MF
455,6.90E-06,280,GO:0004888,transmembrane signaling receptor activity,3.17E-04,MF
2040,8.45E-06,13,GO:0005484,SNAP receptor activity,3.64E-04,MF
551,1.02E-05,180,GO:0019787,ubiquitin-like protein transferase activity,4.15E-04,MF
760,1.63E-05,89,GO:0045182,translation regulator activity,6.24E-04,MF
-861,2.15E-05,67,GO:0016798,"hydrolase activity, acting on glycosyl bonds",7.45E-04,MF
539,2.18E-05,174,GO:0032561,guanyl ribonucleotide binding,7.45E-04,MF
-1940,2.29E-05,13,GO:0015183,L-aspartate transmembrane transporter activity,7.45E-04,MF
414,2.45E-05,298,GO:0038023,signaling receptor activity,7.45E-04,MF
343,2.49E-05,447,GO:0017076,purine nucleotide binding,7.45E-04,MF
575,3.27E-05,146,GO:0019900,kinase binding,9.03E-04,MF
363,3.28E-05,382,GO:0035639,purine ribonucleoside triphosphate binding,9.03E-04,MF
487,3.83E-05,202,GO:0019904,protein domain specific binding,9.52E-04,MF
297,3.91E-05,579,GO:0097367,carbohydrate derivative binding,9.52E-04,MF
-2047,3.94E-05,11,GO:0017153,sodium:dicarboxylate symporter activity,9.52E-04,MF
-1003,4.01E-05,46,GO:0016835,carbon-oxygen lyase activity,9.52E-04,MF
-1503,4.78E-05,20,GO:0008513,secondary active organic cation transmembrane transporter activity,0.001098851,MF
512,5.00E-05,176,GO:0019001,guanyl nucleotide binding,0.001112236,MF
-504,6.27E-05,177,GO:0008509,anion transmembrane transporter activity,0.001314147,MF
-753,6.29E-05,78,GO:0016597,amino acid binding,0.001314147,MF
-875,6.81E-05,57,GO:0015370,solute:sodium symporter activity,0.001381029,MF
577,7.62E-05,131,GO:0031267,small GTPase binding,0.001500462,MF
582,9.66E-05,125,GO:0017016,Ras GTPase binding,0.00184791,MF
333,1.01E-04,398,GO:0001883,purine nucleoside binding,0.001878422,MF
331,1.18E-04,396,GO:0032550;GO:0032549,purine ribonucleoside binding,0.002133027,MF
-1156,1.29E-04,30,GO:0003684,damaged DNA binding,0.002282556,MF
-1995,1.33E-04,10,GO:0005314;GO:0015501,glutamate:sodium symporter activity,0.002298629,MF
326,1.40E-04,400,GO:0001882,nucleoside binding,0.002357686,MF
-1607,1.65E-04,15,GO:0015556,C4-dicarboxylate transmembrane transporter activity,0.002701045,MF
493,1.71E-04,163,GO:0051020,GTPase binding,0.00273701,MF
-1093,1.87E-04,32,GO:0005343,organic acid:sodium symporter activity,0.002925566,MF
722,2.02E-04,73,GO:0090079,"translation regulator activity, nucleic acid binding",0.003099968,MF
-1223,2.17E-04,25,GO:0008408,3'-5' exonuclease activity,0.003118941,MF
-1020,2.18E-04,36,GO:0016836,hydro-lyase activity,0.003118941,MF
1133,2.25E-04,29,GO:0030506,ankyrin binding,0.003118941,MF
-989,2.31E-04,38,GO:0004527,exonuclease activity,0.003118941,MF
440,2.33E-04,197,GO:0016881,acid-amino acid ligase activity,0.003118941,MF
-1327,2.34E-04,21,GO:0019825,oxygen binding,0.003118941,MF
-425,2.36E-04,212,GO:0140098,"catalytic activity, acting on RNA",0.003118941,MF
-1325,2.40E-04,21,GO:0015199;GO:0015651;GO:0015226,amino-acid betaine transmembrane transporter activity,0.003118941,MF
-770,2.58E-04,62,GO:0015294;GO:0015293,solute:cation symporter activity,0.003291542,MF
-1282,2.76E-04,22,GO:0005310,dicarboxylic acid transmembrane transporter activity,0.003463025,MF
586,2.95E-04,106,GO:0003735,structural constituent of ribosome,0.003625897,MF
-881,3.10E-04,46,GO:0015179,L-amino acid transmembrane transporter activity,0.003752315,MF
-1483,3.30E-04,16,GO:0015172,acidic amino acid transmembrane transporter activity,0.003924115,MF
1755,4.25E-04,11,GO:0035438,cyclic-di-GMP binding,0.004887024,MF
-1555,4.30E-04,14,GO:0008484,sulfuric ester hydrolase activity,0.004887024,MF
-1141,4.33E-04,26,GO:0005416,amino acid:cation symporter activity,0.004887024,MF
-1550,4.46E-04,14,GO:0016799,"hydrolase activity, hydrolyzing N-glycosyl compounds",0.00495775,MF
516,4.70E-04,128,GO:0019901,protein kinase binding,0.005144767,MF
-665,5.23E-04,75,GO:0015238,drug transmembrane transporter activity,0.005625214,MF
-1029,5.32E-04,31,GO:0072341,modified amino acid binding,0.005642994,MF
-732,5.65E-04,61,GO:0004519,endonuclease activity,0.005829814,MF
474,5.67E-04,148,GO:0005525,GTP binding,0.005829814,MF
-1576,5.80E-04,13,GO:0003943,N-acetylgalactosamine-4-sulfatase activity,0.005839464,MF
742,5.85E-04,59,GO:0008135,"translation factor activity, RNA binding",0.005839464,MF
-1019,6.05E-04,31,GO:0004180,carboxypeptidase activity,0.005958224,MF
-525,6.59E-04,117,GO:0016829,lyase activity,0.006391578,MF
-1363,6.72E-04,17,GO:0016595,glutamate binding,0.006433237,MF
652,7.99E-04,73,GO:0005057,"obsolete signal transducer activity, downstream of receptor",0.007544522,MF
-408,8.74E-04,187,GO:0003682,chromatin binding,0.008139508,MF
1095,9.33E-04,25,GO:0030551,cyclic nucleotide binding,0.008540381,MF
-1411,9.45E-04,15,GO:0005313,L-glutamate transmembrane transporter activity,0.008540381,MF
-966,9.54E-04,32,GO:0034061,DNA polymerase activity,0.008540381,MF
455,9.93E-04,146,GO:0003924,GTPase activity,0.008775096,MF
-1087,0.001016374,25,GO:0005283,amino acid:sodium symporter activity,0.008864324,MF
-1712,0.001042999,10,GO:0016725,"oxidoreductase activity, acting on CH or CH2 groups",0.008982826,MF
-951,0.001145758,32,GO:0004536,deoxyribonuclease activity,0.009746013,MF
-851,0.001528322,38,GO:1901618,organic hydroxy compound transmembrane transporter activity,0.01284163,MF
601,0.001722602,75,GO:0060090,molecular adaptor activity,0.014153404,MF
-963,0.001725524,29,GO:0003887,DNA-directed DNA polymerase activity,0.014153404,MF
1126,0.001798055,21,GO:0043022,ribosome binding,0.014248045,MF
383,0.001801269,187,GO:0060589,nucleoside-triphosphatase regulator activity,0.014248045,MF
-579,0.001816933,80,GO:0008168,methyltransferase activity,0.014248045,MF
-1152,0.001831701,20,GO:0016763,"transferase activity, transferring pentosyl groups",0.014248045,MF
-529,0.001843915,96,GO:0016779,nucleotidyltransferase activity,0.014248045,MF
-1549,0.001861138,11,GO:0015929,hexosaminidase activity,0.014248045,MF
-700,0.001908932,54,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",0.014453341,MF
-540,0.002050495,90,GO:0016741,"transferase activity, transferring one-carbon groups",0.015226553,MF
-807,0.002059145,40,GO:0005326,neurotransmitter transporter activity,0.015226553,MF
-469,0.002077353,120,GO:0031406,carboxylic acid binding,0.015226553,MF
-803,0.002462304,39,GO:0072349,modified amino acid transmembrane transporter activity,0.017788197,MF
394,0.002478472,165,GO:0008047,enzyme activator activity,0.017788197,MF
378,0.002555567,179,GO:0030695,GTPase regulator activity,0.018096483,MF
-457,0.002573955,121,GO:0043177,organic acid binding,0.018096483,MF
1028,0.002855198,23,GO:0017154,semaphorin receptor activity,0.019871028,MF
336,0.002961048,222,GO:0016879,"ligase activity, forming carbon-nitrogen bonds",0.020401624,MF
-1069,0.003029868,21,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.020669102,MF
848,0.003237013,33,GO:0035591,signaling adaptor activity,0.021865709,MF
1296,0.003322175,14,GO:0016715,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen",0.022223092,MF
252,0.00338341,397,GO:0030234,enzyme regulator activity,0.022415094,MF
221,0.003457592,526,GO:1901265,nucleoside phosphate binding,0.022688391,MF
-1522,0.00356836,10,GO:0019104,DNA N-glycosylase activity,0.023083313,MF
-1286,0.003584781,14,GO:0016015,morphogen activity,0.023083313,MF
542,0.003933123,78,GO:0004930,G protein-coupled receptor activity,0.02509187,MF
-761,0.004091122,39,GO:0004177,aminopeptidase activity,0.025860396,MF
1031,0.004245084,21,GO:0005070,SH3/SH2 adaptor activity,0.026589664,MF
216,0.004294059,525,GO:0000166,nucleotide binding,0.026654111,MF
935,0.004713077,25,GO:0005080,protein kinase C binding,0.02874374,MF
-1476,0.00471414,10,GO:0004300,enoyl-CoA hydratase activity,0.02874374,MF
1292,0.004800485,13,GO:0004716,"obsolete signal transducer, downstream of receptor, with protein tyrosine kinase activity",0.029013457,MF
-880,0.004891294,28,GO:0005328,neurotransmitter:sodium symporter activity,0.029305229,MF
605,0.005060365,59,GO:0005088,Ras guanyl-nucleotide exchange factor activity,0.030056822,MF
1278,0.005270777,13,GO:0004500,dopamine beta-monooxygenase activity,0.031039019,MF
-406,0.005513496,130,GO:0015291,secondary active transmembrane transporter activity,0.032193211,MF
565,0.005674013,66,GO:0030674,"protein binding, bridging",0.032852057,MF
-905,0.00621456,25,GO:0016796,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",0.035681935,MF
-561,0.006852946,64,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,0.039022148,MF
-1390,0.007769404,10,GO:0000217,DNA secondary structure binding,0.043878026,MF
1320,0.008017856,11,GO:0031369,translation initiation factor binding,0.04491303,MF
-614,0.008133451,51,GO:0004540,ribonuclease activity,0.045193127,MF
494,0.008243931,79,GO:0050839,cell adhesion molecule binding,0.045440546,MF
653,0.008873956,44,GO:0004702,"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity",0.048525046,MF
-832,0.008973355,27,GO:0016877,"ligase activity, forming carbon-sulfur bonds",0.048682215,MF
236,0.009161789,354,GO:0008092,cytoskeletal protein binding,0.048774788,MF
-1111,0.009182852,15,GO:0070888,E-box binding,0.048774788,MF
617,0.00920279,49,GO:0043021,ribonucleoprotein complex binding,0.048774788,MF
237,0.009299703,349,GO:0004672,protein kinase activity,0.048912179,MF
652,0.009848219,43,GO:0017137,Rab GTPase binding,0.05140472,MF
929,0.009989513,21,GO:0070001,aspartic-type peptidase activity,0.051750186,MF
1259,0.011440619,11,GO:0016675,"oxidoreductase activity, acting on a heme group of donors",0.058825274,MF
-1066,0.012478946,15,GO:0016405,CoA-ligase activity,0.063688841,MF
716,0.012937597,33,GO:0003730,mRNA 3'-UTR binding,0.065544148,MF
-820,0.013105795,25,GO:0004520,endodeoxyribonuclease activity,0.065842209,MF
-1024,0.013187554,16,GO:0016878,acid-thiol ligase activity,0.065842209,MF
939,0.013290954,19,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",0.06588106,MF
-318,0.015381472,163,GO:0048037,cofactor binding,0.075698818,MF
-988,0.01678351,16,GO:0008395,steroid hydroxylase activity,0.082013041,MF
-690,0.018394393,32,GO:0008235,metalloexopeptidase activity,0.089251669,MF
966,0.019363354,16,GO:0033613,activating transcription factor binding,0.093296161,MF
195,0.019648189,420,GO:0016301,kinase activity,0.094011126,MF
881,0.020151969,19,GO:0030971;GO:1990782,protein tyrosine kinase binding,0.095756599,MF
-572,0.02047872,45,GO:0008519,ammonium transmembrane transporter activity,0.096642727,MF
-521,0.021041174,54,GO:0052689,carboxylic ester hydrolase activity,0.098557563,MF
777,0.021288454,24,GO:0099106,ion channel regulator activity,0.098557563,MF
-167,0.021313609,572,GO:0003677,DNA binding,0.098557563,MF
233,0.021800343,277,GO:0032559,adenyl ribonucleotide binding,0.099042754,MF
-869,0.021839734,19,GO:0016891,"endoribonuclease activity, producing 5'-phosphomonoesters",0.099042754,MF
327,0.02184978,137,GO:0003779,actin binding,0.099042754,MF
506,0.022306057,56,GO:0015078,proton transmembrane transporter activity,0.100450154,MF
586,0.023393243,41,GO:0003743,translation initiation factor activity,0.104661975,MF
-748,0.023639418,25,GO:0015175,neutral amino acid transmembrane transporter activity,0.104745461,MF
-1126,0.023715953,11,GO:0004693;GO:0097472,cyclin-dependent protein kinase activity,0.104745461,MF
191,0.02432738,409,GO:0003723,RNA binding,0.106761561,MF
-1170,0.025022525,10,GO:0043237,laminin-1 binding,0.10875439,MF
1170,0.025097167,10,GO:0098631,cell adhesion mediator activity,0.10875439,MF
-723,0.025840434,26,GO:0016893,"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",0.111275369,MF
-439,0.026041447,71,GO:0030545,receptor regulator activity,0.111444455,MF
175,0.026634974,478,GO:0098772,molecular function regulator,0.113280845,MF
191,0.026991392,392,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",0.113657502,MF
1155,0.027053455,10,GO:0004129;GO:0015002;GO:0016676,"oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor",0.113657502,MF
-883,0.027550934,17,GO:0051287,NAD binding,0.115046023,MF
-515,0.027995263,50,GO:0015101,organic cation transmembrane transporter activity,0.116197206,MF
-482,0.028204934,57,GO:0042393,histone binding,0.116366464,MF
350,0.028377051,109,GO:0004713,protein tyrosine kinase activity,0.116379691,MF
-963,0.02919881,14,GO:0000175,3'-5'-exoribonuclease activity,0.119041302,MF
-1121,0.031865087,10,GO:0019212,phosphatase inhibitor activity,0.129147323,MF
232,0.032551176,242,GO:0005524,ATP binding,0.129451583,MF
943,0.032703459,14,GO:0015020,glucuronosyltransferase activity,0.129451583,MF
-477,0.032792408,55,GO:0048018,receptor ligand activity,0.129451583,MF
615,0.032827641,33,GO:0008381,mechanosensitive ion channel activity,0.129451583,MF
1017,0.032879575,12,GO:0005355;GO:0015149,hexose transmembrane transporter activity,0.129451583,MF
-1110,0.033538821,10,GO:0019894,kinesin binding,0.131296861,MF
-875,0.03416305,16,GO:0003954;GO:0008137;GO:0050136,NADH dehydrogenase (quinone) activity,0.132368965,MF
487,0.034196917,52,GO:0017048,Rho GTPase binding,0.132368965,MF
453,0.034399495,60,GO:0032182,ubiquitin-like protein binding,0.132371251,MF
214,0.034718001,279,GO:0030554,adenyl nucleotide binding,0.132371251,MF
239,0.03477387,220,GO:0004674,protein serine/threonine kinase activity,0.132371251,MF
-407,0.035008745,74,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.132533105,MF
776,0.035688116,20,GO:0004712,protein serine/threonine/tyrosine kinase activity,0.134366734,MF
690,0.03692928,25,GO:0016247,channel regulator activity,0.138284096,MF
-379,0.037865993,83,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",0.14034974,MF
-401,0.037888319,74,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",0.14034974,MF
-1032,0.038281287,11,GO:0016803,ether hydrolase activity,0.141047096,MF
829,0.038581403,17,GO:0043531,ADP binding,0.141396736,MF
613,0.039055982,31,GO:1902936,phosphatidylinositol bisphosphate binding,0.142331238,MF
365,0.039249543,88,GO:0005085,guanyl-nucleotide exchange factor activity,0.142331238,MF
977,0.040432288,12,GO:0000146,microfilament motor activity,0.1458526,MF
-549,0.040947686,38,GO:0005496,steroid binding,0.146942476,MF
870,0.041322752,15,GO:0004708,MAP kinase kinase activity,0.147520083,MF
615,0.041722223,30,GO:0005272,sodium channel activity,0.148038108,MF
840,0.041897578,16,GO:0042169,SH2 domain binding,0.148038108,MF
1056,0.04307892,10,GO:0003746,translation elongation factor activity,0.15143559,MF
809,0.043486017,17,GO:0016500,protein-hormone receptor activity,0.152090687,MF
260,0.043924916,168,GO:0003729,mRNA binding,0.152849832,MF
-547,0.044607437,37,GO:0003697,single-stranded DNA binding,0.154444846,MF
367,0.046676614,81,GO:0004714,transmembrane receptor protein tyrosine kinase activity,0.160800934,MF
-581,0.046933321,32,GO:0004521,endoribonuclease activity,0.160880885,MF
-388,0.047610295,72,GO:0008236,serine-type peptidase activity,0.16239353,MF
518,0.047848752,40,GO:0005178,integrin binding,0.162402907,MF
-1028,0.048904488,10,GO:0030983,mismatched DNA binding,0.165172509,MF
-290,0.050160783,127,GO:0016757,"transferase activity, transferring glycosyl groups",0.166741729,MF
623,0.050246801,27,GO:0061135,endopeptidase regulator activity,0.166741729,MF
-315,0.050335946,107,GO:0015081,sodium ion transmembrane transporter activity,0.166741729,MF
512,0.050565601,40,GO:0019003,GDP binding,0.166741729,MF
863,0.050579131,14,GO:0016722,"oxidoreductase activity, oxidizing metal ions",0.166741729,MF
-891,0.051833869,13,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.169820533,MF
587,0.052005998,30,GO:0019955,cytokine binding,0.169820533,MF
-397,0.053683164,65,GO:0003777,microtubule motor activity,0.174470283,MF
-530,0.054496026,36,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,0.176280573,MF
623,0.054777471,26,GO:0015036,disulfide oxidoreductase activity,0.17636298,MF
-702,0.057476553,20,GO:0004181,metallocarboxypeptidase activity,0.184192303,MF
-869,0.057954319,13,GO:0016801,"hydrolase activity, acting on ether bonds",0.184279794,MF
344,0.058038774,84,GO:0019199,transmembrane receptor protein kinase activity,0.184279794,MF
637,0.059192738,24,GO:0019992,diacylglycerol binding,0.187081634,MF
935,0.060490074,11,GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity",0.190308953,MF
353,0.060891566,78,GO:0051082,unfolded protein binding,0.190701315,MF
-672,0.06249108,21,GO:0008173,RNA methyltransferase activity,0.194825132,MF
334,0.063721862,85,GO:0015399;GO:0015405,primary active transmembrane transporter activity,0.197767402,MF
784,0.066134547,15,GO:0015459,potassium channel regulator activity,0.204334989,MF
605,0.067527193,25,GO:0004866,endopeptidase inhibitor activity,0.207706412,MF
628,0.068656851,23,GO:0008188,neuropeptide receptor activity,0.210242534,MF
-461,0.071101292,42,GO:0034062;GO:0097747,5'-3' RNA polymerase activity,0.214770795,MF
-400,0.071268253,56,GO:0008094,DNA-dependent ATPase activity,0.214770795,MF
826,0.071312298,13,GO:0015035,protein disulfide oxidoreductase activity,0.214770795,MF
396,0.071382456,57,GO:0043130,ubiquitin binding,0.214770795,MF
535,0.071793064,31,GO:0070851,growth factor receptor binding,0.21506705,MF
-551,0.072685139,29,GO:0008307,structural constituent of muscle,0.215634673,MF
680,0.072906752,19,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,0.215634673,MF
-765,0.07292145,15,GO:0005254,chloride channel activity,0.215634673,MF
189,0.073669802,254,GO:0004175,endopeptidase activity,0.216916639,MF
887,0.074914219,11,GO:0035250;GO:0008378,UDP-galactosyltransferase activity,0.219642114,MF
-674,0.075365647,19,GO:0005253,anion channel activity,0.220029367,MF
-562,0.07733805,27,GO:0003725,double-stranded RNA binding,0.223860982,MF
481,0.077391909,37,GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors",0.223860982,MF
